dream_id,dream_text,stress_label,emotion_labels,theme_labels,symbol_labels
1312,I was swimming slowly through a moonlit courtyard. I found a smiling child reaching up to me and picked it up gently. I felt hopeful in a way I had almost forgotten. I woke with a sense of belonging.,low,"care,playfulness,wonder","community,grounding,seasonal_comfort,restoration","ladder,stars,tree"
1313,I was losing control in a city block shaking in an earthquake. I found a shattered window with sharp edges and could not escape it. I woke in a cold sweat.,high,"grief,stress,guilt","survival,emotional_overflow","classroom,legs,seed,ticket_stub"
1314,I was circling the perimeter of a deserted park at twilight. There was a flickering candle about to go out. I felt the weight of something I had been avoiding.,moderate,"reflection,melancholy,ambition,amusement","hidden_desire,unresolved_conflict,change,time","ocean,evening,losing_valuables,hiding"
1315,I found a familiar face smiling at me as I was walking through a childhood backyard in summer. A gentle peace settled over me. I carried that peace with me all day.,low,"delight,relief,nostalgia","freedom,new_beginning,social_uncertainty","river,chest,rope,monsters"
1316,The dream began in an empty theatre with the lights still on. I was circling the perimeter of and came across a distant light I could not reach. Something in the dream asked a question I had not answered.,moderate,"suspicion,yearning,unease,ambivalence,hesitation","coexistence,hidden_desire,identity,liminal_space","voice,rain,bench,letters"
1317,I was writing in a peaceful mountain clearing. There was a colorful butterfly landing on my hand. I felt held by something larger than myself. I carried that warmth into the day.,low,"belonging,contentment,affection","clarity,celebration","legs,fire"
1318,"I was investigating a basement full of sealed boxes. There was a half-open door at the end of the hall. Something felt unfinished, though I could not say what.",moderate,"determination,protectiveness,ambition,amusement","hidden_message,power,unresolved_conflict",ring
1319,I was playing with children in a gentle river bank at dusk. I found a glowing lantern hanging above and held it close. It felt like a small miracle.,low,"delight,purpose,relief,focus","hidden_refuge,community,simplicity,stillness","table,stars"
1320,I was trying to navigate a silent library with flickering lights and noticed a worn suitcase left behind. There was a quiet ambivalence I could not shake. I woke feeling reflective.,moderate,"ambivalence,hesitation,amusement,nostalgia,regret","hidden_message,ambiguity,hidden_truth","teaching,gold"
1321,I was suffocating in a city block shaking in an earthquake. There was a crowd closing in from all sides. I jolted awake with my heart pounding. I woke in a state of alarm.,high,"helplessness,dread,self_consciousness","entrapment,exposure,vulnerability,urgency","star,house,maze,map"
1322,"Deep in the dream, i was in a war but no one was shooting and the soldiers were handing out food.",moderate,"nostalgia,suspicion,unease","pause,social_uncertainty,unresolved_conflict,emotional_processing",autumn
1323,"I was fighting to breathe in a flooded street rising fast and noticed a key that kept changing shape. I woke shaking, the image still vivid. I woke in a state of alarm.",high,"fear,dread,anguish,suspicion","loss_of_control,chaos,survival,emotional_balance",dock
1324,I was failing an exam in a forest fire closing in from every side. There was a key that kept changing shape. I could not fall back asleep. I woke shaking and disoriented.,high,"shame,frustration,dread,disorientation,claustrophobia","work_stress,vulnerability,celebration","thunder,oranges,monsters,courtyard"
1325,I was exploring peacefully a soft meadow under a pale sky. I found a soft blanket left for me and held it close. I stood there feeling lighter than I had in years.,low,"playfulness,delight,curiosity,inspiration","nourishment,abundance","water,crying,red"
1326,I found a curious animal watching quietly as I was wandering through a shadowy courtyard I had never seen. I was not sure whether to feel relieved or uneasy. I woke feeling reflective.,moderate,"wistfulness,wariness,nostalgia,yearning,awe","memory,liminal_space,strategy,uncertainty","star,sunset,monsters,mirror"
1327,I found a strange map with no labels as I found myself lost in a half-finished bridge over dark water. I felt the past pressing gently forward. I woke in quiet contemplation.,moderate,"disconnection,nostalgia,alertness,ambition,longing","self_expression,security",bread
1328,The dream began in a crossroads in the middle of nowhere. I was discovering a hidden part of and came across a distant light I could not reach. The mood was strange — familiar and foreign at once. I sensed something unfinished.,moderate,"surprise,protectiveness,instability","emotional_processing,social_uncertainty,past,unresolved_conflict","ship,skin"
1329,"The dream began in a soft meadow under a pale sky. I found myself standing in and came across a warm scarf left on a branch. Everything felt right, just for that moment.",low,"belonging,gentleness,warmth,awe,affection","small_kindness,transformation","hallway,temple,mouth,river"
1330,The dream began in a pitch-black tunnel with no end. I was suffocating in and came across a shadow that moved on its own. I woke feeling utterly drained.,high,"alertness,desperation,restlessness","loss_of_control,abandonment,technology_stress",box
1331,I was collapsing inside a rooftop with no railing in high wind. There was a hostile stranger blocking the exit. The fear stayed with me long after I opened my eyes.,high,"shame,regret,helplessness","collective_threat,self_expression",eating
1332,The dream began in a suffocating elevator that would not open. I was trapped in and came across a floor dissolving beneath my feet. I felt exposed even after the dream ended.,high,"guilt,self_consciousness,helplessness,anger,shock","social_judgment,privacy,hidden_threat",crane
1333,"The dream began in a falling aircraft losing altitude fast. I was failing to protect someone in and came across a shattered window with sharp edges. I lay awake for an hour, unable to shake the dread.",high,"dread,claustrophobia,hurt,regret","loss_of_control,collective_threat","family,owl,fire,airport"
1334,I was fighting to breathe in a burning building with blocked exits. I found a darkness spreading over everything and watched it helplessly. The panic lingered into the morning.,high,"pressure,grief,rage,terror","emotional_overflow,collective_threat,urgency",flower
1335,I found a basket of ripe fruit as I was watching the sunrise from a candlelit library. I felt genuinely content. I woke feeling renewed.,low,"peace,calm,freedom,reverence","restoration,seasonal_comfort","searching,chest"
1336,"I found a charging animal with nowhere to go as I was being judged in front of everyone in a rooftop with no railing in high wind. I woke with a deep, formless dread. I woke gasping.",high,"dread,self_consciousness,guilt,terror","persecution,time_pressure,vulnerability",donkey
1337,I was trying to call for help from a raging flood sweeping through the streets. I found a shadow that moved on its own and could not escape it. I woke feeling like something had been taken from me. The helplessness stayed with me all day.,high,"frustration,disorientation,desperation,exposure","collapse,blocked_expression,vulnerability,persecution","oranges,swimming,shelf"
1338,The dream began in a train platform where the train never came. I was trying to remember the way through and came across a broken clock on the wall. Part of me wanted to stay; part of me needed to leave. I sensed a change was coming.,moderate,"ambition,sadness,ambivalence,protectiveness,restlessness","pause,mystery,power,hidden_path",kitchen
1339,"At some point, i was falling but the fall was slow and the view was extraordinary.",moderate,"yearning,confusion,sadness","uncertainty,ambiguity,identity,upheaval","candle,mirror"
1340,I was playing with children in a small chapel with open doors. There was a peaceful stream nearby. I woke still carrying that warmth. I woke with a sense of belonging.,low,"nostalgia,delight,satisfaction,contentment,affection","spirituality,connection","silver,shark"
1341,"At some point, i was in a collapsing building but found a staircase that led to the roof and open sky.",moderate,"protectiveness,determination,unease,anticipation","hidden_message,liminal_space,transition","fruit,mountain,skin,work"
1342,I sat quietly in a sunlit garden full of wildflowers. There was a blooming white flower. I carried that peace into the morning.,low,"curiosity,comfort,serenity,tenderness,delight","rest,small_blessing,urban_healing,power",writing
1343,I was exploring peacefully a warm porch at sunset. I found a basket of ripe fruit and picked it up gently. I breathed slowly and felt the tension leave my body.,low,"focus,gentleness,contentment","restoration,urban_healing,family,transformation",lizard
1344,The dream began in a waiting room with no clock. I was discovering a hidden part of and came across a worn suitcase left behind. I felt cautiously hopeful but not yet certain.,moderate,"nostalgia,sadness,awe,restlessness,alertness","memory,hidden_desire,mystery","chest,gate"
1345,"I was losing control in a locked exam hall where I knew nothing. I found a wolf standing in the doorway and tried to push it away. Even awake, I felt trapped. I woke feeling utterly exhausted.",high,"anguish,instability,regret,obsession","technology_failure,instability","locker,voice,ant"
1346,I was trying to call for help from a collapsing staircase in a tall tower. I found a venomous snake blocking the path and tried to push it away. The helplessness stayed with me all day.,high,"alertness,stress,disorientation","collective_threat,performance_stress,avoidance,seasonal_comfort",crane
1347,I was following a stranger through a dimly lit room with one window. I found a flickering candle about to go out and could not decide what it meant. I woke unsure whether it had been a good dream or a bad one. The feeling lingered unresolved.,moderate,"protectiveness,nostalgia,guilt","work_boundary,strategy","climbing,email,rabbit,dancing"
1348,I was meditating in a warm kitchen smelling of bread. There was a stack of beloved books. I felt hopeful in a way I had almost forgotten. I woke with a soft smile.,low,"wonder,satisfaction,inspiration","small_kindness,emotional_balance",mirror
1349,"I found a rope fraying as I held it as I was screaming with no sound coming out in a suffocating elevator that would not open. I lay awake for an hour, unable to shake the dread. I lay awake for hours afterward.",high,"instability,humiliation,exposure,alertness,frustration","work_stress,survival,technology_stress","door,elders"
1350,I sat quietly in a lantern-lit courtyard. There was a glowing lantern hanging above. I breathed slowly and felt the tension leave my body.,low,"calm,comfort,awe","urban_healing,transformation","hair,phone,snow,park"
1351,I found a phone that would not dial as I was failing an exam in a forest fire closing in from every side. My hands were trembling when I finally woke. The shame burned even after waking.,high,"terror,anger,regret,anxiety,frustration","collective_threat,pressure,survival,upheaval","losing_valuables,compass,food,searching"
1352,I was struggling to escape a dark underwater cave filling with water and noticed a hostile stranger blocking the exit. I could not fall back asleep. I woke shaking and disoriented.,high,"alertness,grief,self_consciousness,helplessness,hurt","absurdity,blocked_progress","peacock,basket,clothes,night"
1353,I was watching from a distance in a silent library with flickering lights and noticed a photograph of a place I had never been. I could not decide if it was a warning or an invitation.,moderate,"restlessness,sadness,suspicion,protectiveness","warning,hidden_desire,inner_self,emotional_processing","dove,photos"
1354,I was struggling to escape a falling aircraft losing altitude fast. There was a rope fraying as I held it. I woke feeling utterly drained. The shame burned even after waking.,high,"terror,fear,claustrophobia","work_stress,time_pressure,abandonment,academic_pressure","phone,stars,gold"
1355,The dream began in a dock over a glassy lake. I wandered gently through and came across a colorful butterfly landing on my hand. I felt a soft joy I could not name. I woke feeling deeply restored.,low,"relief,peace,calm","simplicity,release,movement,protection","soup,feet,map,moon"
1356,"I found a shadow that moved on its own as I was failing to protect someone in a forest fire closing in from every side. I sat up gasping, unable to remember how to breathe. The shame burned even after waking.",high,"desperation,fear,exposure,grief,frustration","urgency,chaos,academic_pressure","herbs,crying,basket,praying"
1357,"I was trapped in a room filling with smoke and noticed a venomous snake blocking the path. Even awake, I felt trapped.",high,"self_consciousness,helplessness,alertness,disorientation,serenity","absurdity,public_visibility,chaos,social_judgment",summer
1358,I found myself lost in an empty theatre with the lights still on and noticed a worn suitcase left behind. I felt both drawn in and held back. I woke with a cautious hope.,moderate,"awe,apprehension,anticipation,restlessness,surprise","uncertainty,strategy,chaos",desert
1359,"The dream began in a rooftop with no railing in high wind. I was trapped in and came across a wall collapsing toward me. Even awake, I felt trapped.",high,"exposure,regret,hurt,anxiety","avoidance,academic_pressure,exposure,transition","elevator,ship,family,soup"
1360,"Strangely, i was lost in a forest but the trees were singing softly.",moderate,"anticipation,sadness,confusion,yearning","work_boundary,nostalgia_for_past,awakening","cat,maze"
1361,The dream began in a candlelit library. I was painting in and came across a small herb garden in full bloom. A sense of belonging washed over me.,low,"awe,purpose,care,exposure","reconciliation,emotional_balance,companionship,stillness","hawk,festivals"
1362,The dream began in a raging flood sweeping through the streets. I was being overwhelmed in and came across a locked door with no handle. The shame burned even in daylight.,high,"disorientation,shame,grief,rage,pressure","entrapment,collapse",rainbow
1363,I was attempting to leave a deserted park at twilight. There was a forgotten notebook in my handwriting. I felt cautiously hopeful but not yet certain. I woke with a strange awareness.,moderate,"alertness,amusement,curiosity","memory,time,discovery",owl
1364,The dream began in a rooftop garden above the city. I wandered gently through and came across a welcoming fire in the hearth. I felt held by something larger than myself.,low,"curiosity,acceptance,warmth,gratitude","new_beginning,clarity,seasonal_comfort","watch,rice,wave,ticket_stub"
1365,The dream began in a dock over a glassy lake. I was gardening in and came across a folded note that said 'be brave'. I felt deeply grateful without knowing why.,low,"gentleness,curiosity,hope,tenderness,playfulness","learning,healing,emotional_balance","stage,rainbow"
1366,The dream began in a room filling with smoke. I was suffocating in and came across a venomous snake blocking the path. The alarm I felt did not fade quickly.,high,"terror,shame,guilt,exposure,dread","performance_stress,grounding",soup
1367,I was drowning in a suffocating elevator that would not open. There was a missing child I could not find. I could not fall back asleep. I woke gasping.,high,"shame,anguish,pressure","privacy,absurdity,work_stress,release","eating,fish,courtyard"
1368,I was suffocating in a city block shaking in an earthquake. I found a floor dissolving beneath my feet and tried to push it away. I could not remember how to feel safe.,high,"terror,exposure,shock,disorientation,anger","social_judgment,technology_failure,abandonment,absurdity",sunset
1369,"I was trying to call for help from a suffocating elevator that would not open and noticed a phone that would not dial. I woke shaking, the image still vivid. I woke with a racing heart.",high,"terror,anguish,panic","social_judgment,hidden_threat,pressure","bag,rabbit"
1370,I was being overwhelmed in a suffocating elevator that would not open. I found a charging animal with nowhere to go and watched it helplessly. The helplessness stayed with me all day.,high,"hurt,fear,desperation","absurdity,collapse,secrets","rain,tickets"
1371,"Near the end, i found a locked door and felt both afraid to open it and desperate to know what was inside.",moderate,"fatigue,wistfulness,confusion,hesitation","hidden_desire,searching_for_self,nostalgia_for_past,change","monkey,glass,fish"
1372,"As the dream continued, i found a letter that said something terrible was coming but that I would be okay.",moderate,"amusement,hesitation,reflection,self_awareness,restlessness","deception,change,pause,hidden_path","village,hawk,window,flower"
1373,I was unable to move in a panicking crowd pushing toward the edge. There was a rope fraying as I held it. The panic lingered into the morning.,high,"claustrophobia,alertness,fear","exposure,impostor_feeling,pressure","morning,mouth"
1374,The dream began in a locked exam hall where I knew nothing. I was drowning in and came across a screaming alarm I could not silence. My hands were trembling when I finally woke.,high,"terror,anger,regret,self_consciousness","modern_stress,loss_of_control,persecution","flower,oranges,black,lock"
1375,I found a rope fraying as I held it as I was desperately searching in a burning building with blocked exits. The weight of it followed me into the morning. I woke shaking and disoriented.,high,"grief,rage,hurt,terror","social_judgment,absurdity,persecution,privacy","fruit,airport,key,ocean"
1376,"Quietly, i was falling from a great height but landed softly in a field of grass.",moderate,"wariness,apprehension,protectiveness,yearning,serenity","hidden_truth,social_uncertainty,work_boundary","locker,star"
1377,I found an unfamiliar face watching me as I was packing bags in an old school building after hours. Part of me wanted to stay; part of me needed to leave. I sensed something unfinished.,moderate,"curiosity,awe,surprise,satisfaction","searching_for_self,identity","wedding,river"
1378,I was questioning my choices in a dimly lit room with one window. I found a flickering candle about to go out and could not decide what it meant. Part of me wanted to stay; part of me needed to leave.,moderate,"awe,ambivalence,curiosity","hidden_desire,awakening,letting_go","shark,bike"
1379,I was packing bags in an unfamiliar city street at dusk. I found a dusty old book with no title and studied it carefully. Something in the dream asked a question I had not answered.,moderate,"wistfulness,nostalgia,sadness,yearning","discovery,deception,change",hospital
1380,"As the dream continued, i was locked in a room but the room was full of books I had always wanted to read.",moderate,"anticipation,sadness,apprehension,wariness,alertness","letting_go,hidden_truth","porch,red"
1381,I sat quietly in a cozy café with rain on the windows. There was a peaceful stream nearby. Something about it made me feel completely at home. I felt a deep sense of peace.,low,"care,affection,satisfaction,serenity,belonging","family,urban_healing","road,garage,crane,dawn"
1382,"Near the end, i was in a dark tunnel but I could hear music from the other end.",moderate,"protectiveness,longing,unease,surprise,sadness","nostalgia_for_past,alienation,identity,mystery",legs
1383,I was cycling through a soft forest clearing with birdsong. There was a white dove perched on a fence. I carried that peace into the morning. I woke feeling renewed.,low,"warmth,satisfaction,wonder,curiosity","grounding,abundance,learning,small_blessing","bird,green"
1384,I found a rope fraying as I held it as I was drowning in a collapsing staircase in a tall tower. I woke feeling utterly drained. The shame burned even after waking.,high,"humiliation,disorientation,tenderness","work_stress,blocked_expression,collective_threat",family
1385,The dream began in a childhood backyard in summer. I was writing in and came across a stack of beloved books. The feeling lingered long after I opened my eyes. I felt the tension release completely.,low,"acceptance,affection,focus,tenderness","protection,small_blessing,transformation,emotional_balance","wave,work,shark,elephant"
1386,"I was falling from a dark underwater cave filling with water and noticed a flood rising through the floor. Even awake, I felt trapped. I woke with a heavy dread.",high,"shame,anger,nostalgia","technology_stress,pressure,privacy,collapse","maze,evening,cave"
1387,I found a candle already lit in the window as I was gardening in a sunlit garden full of wildflowers. The feeling lingered long after I opened my eyes. I woke feeling renewed.,low,"belonging,contentment,warmth","renewal,reconciliation,transformation,instability","ice,hawk,mirror"
1388,I was panicking in a locked exam hall where I knew nothing. There was a wall collapsing toward me. I woke feeling like something had been taken from me. I woke shaking and disoriented.,high,"fear,shame,powerlessness","instability,impostor_feeling,technology_stress,upheaval","bus_stop,office,backyard,family"
1389,"Deep in the dream, i was running from something I could not see but the road ahead was bright and open.",moderate,"anticipation,ambivalence,unease,awe,regret","coexistence,inner_self","tickets,elephant,festivals"
1390,I wandered gently through a cozy café with rain on the windows and noticed a warm cup of tea on a table. It felt like a small miracle. I woke up smiling.,low,"joy,care,inspiration,contentment,tenderness","new_beginning,past",ticket
1391,I was investigating a shadowy courtyard I had never seen. There was a half-open door at the end of the hall. There was a quiet ambivalence I could not shake. I woke in quiet contemplation.,moderate,"reflection,curiosity,wistfulness,protectiveness","small_disruption,strategy,alienation,impostor_feeling","parrot,autumn,jewelry,teaching"
1392,"Strangely, i was in a car with no brakes but the road curved upward and the car slowed on its own.",moderate,"fatigue,ambivalence,suspicion,amusement","hidden_truth,ambiguity,suspension","horse,tiger,courtyard,garden"
1393,I wandered gently through a soft meadow under a pale sky. I found a white dove perched on a fence and picked it up gently. I smiled without meaning to. I felt the warmth linger into morning.,low,"warmth,comfort,awe","security,restoration",losing_valuables
1394,I was swimming slowly through a quiet lake at dawn and noticed a folded note that said 'be brave'. I felt hopeful in a way I had almost forgotten. I carried that warmth into the day.,low,"calm,belonging,awe","urban_healing,transformation","broken_glass,dusk"
1395,I was exploring peacefully a moonlit courtyard and noticed a beautiful rainbow overhead. It felt like a small miracle.,low,"longing,gratitude,freedom,comfort,gentleness","small_kindness,flow,security","clock,park,fog"
1396,"I was dancing softly in a cozy café with rain on the windows and noticed a smiling child reaching up to me. For the first time in a long while, I felt safe. I woke feeling deeply restored.",low,"reverence,gentleness,confidence","celebration,guidance",maze
1397,"The dream began in a sinking ship in open water. I was running desperately through and came across a blank exam paper I could not read. Even awake, I felt trapped.",high,"helplessness,regret,self_consciousness,obsession","academic_pressure,public_visibility,hidden_threat","chest,hair,silver,rain"
1398,I found a staircase crumbling underfoot as I was watching helplessly as everything collapsed in an endless maze with no exits. The weight of it followed me into the morning. I woke with a heavy dread.,high,"grief,overwhelm,hurt,rage,inspiration","collapse,upheaval,grounding","church,car,herbs,oranges"
1399,I was following a stranger through an old school building after hours and noticed a cracked mirror on the wall. The feeling was hard to name — somewhere between hope and worry. The feeling lingered unresolved.,moderate,"anticipation,longing,fatigue,melancholy,reflection","identity,nostalgia_for_past","treasure,tree"
1400,The dream began in a burning building with blocked exits. I was drowning in and came across a bridge falling away behind me. I could not fall back asleep. I woke with my heart pounding.,high,"stress,humiliation,longing","persecution,deception","shrine,sleeping,mosque,ladder"
1401,I was watching from a distance in a misty forest at twilight and noticed a compass spinning in circles. The mood was strange — familiar and foreign at once. The feeling lingered unresolved.,moderate,"surprise,regret,amusement","emotional_processing,awakening,mystery,self_expression",breath
1402,I found an old carved wooden door standing open as I was reading in a breezy open field. I felt understood without saying a word. I woke feeling deeply restored.,low,"longing,serenity,comfort,freedom","learning,security","winter,dog,earthquake"
1403,"Later in the dream, i was standing in a graveyard but the graves had flowers and the sky was clear.",moderate,"nostalgia,hesitation,restlessness,alertness","self_expression,hidden_threat","evening,hospital,hiding"
1404,"Later in the dream, i was being chased but the pursuer kept tripping and I felt guilty for running.",moderate,"amusement,wistfulness,anticipation,hesitation,fatigue","power,hidden_path","passport,cat"
1405,I was failing an exam in a flooded street rising fast. I found a flood rising through the floor and watched it helplessly. I jolted awake with my heart pounding. I woke gasping.,high,"grief,alertness,panic,terror,anger","chaos,technology_stress,reconciliation",backyard
1406,I was wandering through a maze-like office with no exits and noticed a dusty old book with no title. Something in the dream asked a question I had not answered.,moderate,"awe,curiosity,wariness","hidden_desire,ambiguity,hidden_message,power","room,rest,snow,tickets"
1407,"I was failing an exam in a falling aircraft losing altitude fast. There was a venomous snake blocking the path. I woke shaking, the image still vivid. I sat up in bed unable to breathe.",high,"powerlessness,pressure,hurt,rage,desperation","persecution,vulnerability,blocked_expression,collapse","reflection,sunset,tickets,family"
1408,I found a locked door with no handle as I was desperately searching in a collapsing bridge over a gorge. I could not remember how to feel safe. The panic lingered into daylight.,high,"hurt,disorientation,self_consciousness,overwhelm,nostalgia","technology_failure,privacy,loss_of_control,time_pressure","night,wave,shadow"
1409,"For a moment, i was failing an exam but everyone around me was also failing and we were laughing about it.",moderate,"ambivalence,hesitation,reflection","hidden_message,domestic_stress",festivals
1410,I found a car with no brakes on a steep hill as I was panicking in a panicking crowd pushing toward the edge. I felt exposed even after the dream ended. I woke shaking and disoriented.,high,"pressure,dread,self_consciousness,anxiety,rage","pressure,abandonment,work_stress,technology_failure","light,smiling,bear"
1411,"I found a hostile stranger blocking the exit as I was desperately searching in a locked exam hall where I knew nothing. I woke with a deep, formless dread.",high,"instability,claustrophobia,hurt,panic","absurdity,blocked_expression,social_judgment","elephant,fog,dusk,dawn"
1412,"I was exploring peacefully a quiet lake at dawn. I found a blooming white flower and held it close. Everything felt right, just for that moment. I carried that peace with me all day.",low,"hope,playfulness,calm,relief,powerlessness","stillness,spirituality,companionship,flow",moon
1413,"I was fighting to breathe in a collapsing staircase in a tall tower and noticed a floor dissolving beneath my feet. Even awake, I felt trapped. I woke with my heart pounding.",high,"alertness,shock,grief,exposure","instability,performance_stress,avoidance","photos,music"
1414,I was being judged in front of everyone in a locked exam hall where I knew nothing. There was a wall collapsing toward me. I jolted awake with my heart pounding. I woke with a deep sense of dread.,high,"humiliation,anger,desperation","modern_stress,exposure,technology_failure",chest_box
1415,I was walking through a soft forest clearing with birdsong and noticed a familiar face smiling at me. I felt deeply grateful without knowing why. I carried that warmth into the day.,low,"satisfaction,reverence,belonging","spirituality,reflection","store,library,sleeping"
1416,I was swimming slowly through a warm kitchen smelling of bread and noticed an old carved wooden door standing open. I felt genuinely content.,low,"acceptance,reverence,contentment,joy,tenderness","protection,rest",eagle
1417,"Later in the dream, i was failing an exam but everyone around me was also failing and we were laughing about it.",moderate,"suspicion,yearning,ambition","coexistence,work_boundary,hidden_message,awakening","evening,photograph"
1418,"Suddenly, i was falling but the fall was slow and the view was extraordinary.",moderate,"determination,melancholy,yearning,protectiveness,overwhelm","hidden_path,past,unresolved_conflict,memory","screen,library,candle,black"
1419,"I found a flood rising through the floor as I was failing an exam in a dark forest with no path. I sat up gasping, unable to remember how to breathe. The panic lingered into daylight.",high,"panic,grief,obsession,anger","exposure,performance_stress",cooking
1420,"I found a smiling child reaching up to me as I was writing in a warm porch at sunset. Everything felt right, just for that moment. I felt the warmth linger into morning.",low,"belonging,gratitude,relief,care,reverence","achievement,transformation,celebration",rope
1421,I was desperately searching in a burning building with blocked exits. There was a door that opened onto nothing. The shame burned even in daylight. The shame burned even after waking.,high,"exposure,shame,urgency,nostalgia","pressure,avoidance,entrapment","green,soldiers"
1422,"I found an old carved wooden door standing open as I was listening to music in a candlelit library. Everything felt right, just for that moment. I woke feeling deeply restored.",low,"hope,calm,nostalgia,reverence","domestic_healing,learning,small_kindness,clarity","boat,sun"
1423,The dream began in a hostile crowd pressing from all sides. I was collapsing inside and came across a screaming alarm I could not silence. I woke feeling like something had been taken from me.,high,"helplessness,regret,humiliation","emotional_overflow,survival,technology_failure,technology_stress","sun,palace,window,frog"
1424,I was watching the sunrise from a breezy open field. I found an old carved wooden door standing open and smiled at it. I carried that peace into the morning.,low,"curiosity,affection,gentleness,purpose,confidence","spirituality,protection,uncertainty","temple,dock,spider,photos"
1425,I was hesitating at the edge of a dimly lit room with one window and noticed a tangled rope on the floor. I felt both drawn in and held back. I woke in quiet contemplation.,moderate,"suspicion,reflection,longing,wistfulness,wariness","small_disruption,time,discovery","hallway,frog"
1426,I was watching helplessly as everything collapsed in a dark underwater cave filling with water. I found a rope fraying as I held it and watched it helplessly. I jolted awake with my heart pounding. I woke shaking and disoriented.,high,"self_consciousness,instability,panic","collective_threat,change","arms,wolf,reflection,tears"
1427,"Without warning, i was at a funeral but everyone was telling stories that made us laugh.",moderate,"apprehension,sadness,wariness,melancholy,terror","secrets,power,danger",apples
1428,I was panicking in a stormy ocean with no shore in sight. I found a clock counting down to zero and could not escape it. The helplessness stayed with me all day.,high,"helplessness,shame,overwhelm,desperation,anger","survival,time_pressure","dress,apples,dove"
1429,The dream began in a breezy open field. I was meditating in and came across a warm cup of tea on a table. I felt deeply grateful without knowing why. I felt the tension release completely.,low,"comfort,inspiration,affection","renewal,freedom","tower,bell,festivals,mountain"
1430,The dream began in a panicking crowd pushing toward the edge. I was drowning in and came across a staircase crumbling underfoot. The shame burned even in daylight. I woke feeling utterly exhausted.,high,"grief,pressure,panic,frustration,fear","blocked_expression,performance_stress","dawn,school,breath,path"
1431,I found a blank exam paper I could not read as I was being judged in front of everyone in a suffocating elevator that would not open. I woke feeling like something had been taken from me. I could not shake the feeling of danger.,high,"shock,desperation,inspiration","privacy,entrapment,abandonment,connection","dog,mouth,cat,stairs"
1432,"For a moment, i was lost in a city I did not know but every stranger I asked for help smiled and pointed the way.",moderate,"confusion,yearning,ambivalence,suspicion,melancholy","letting_go,inner_self,secrets,hidden_message","gate,wind"
1433,"Later in the dream, i was in a collapsing building but found a staircase that led to the roof and open sky.",moderate,"ambition,regret,ambivalence","domestic_stress,social_uncertainty,mystery,suspension","breath,flying,elephant"
1434,I was exploring peacefully a soft meadow under a pale sky and noticed a small herb garden in full bloom. I carried that peace into the morning. I felt the tension release completely.,low,"freedom,nostalgia,tenderness","community,simplicity,learning",tower
1435,I was trying to navigate a half-empty train moving slowly and noticed a locked box with no key. The feeling was hard to name — somewhere between hope and worry.,moderate,"nostalgia,regret,ambivalence","unresolved_conflict,pause","gold,ship"
1436,I found a basket of ripe fruit as I was resting in a familiar beach at low tide. A gentle peace settled over me.,low,"affection,gentleness,gratitude,relief,anticipation","security,clarity,release,domestic_healing","river,dancing,red"
1437,I found a clock counting down to zero as I was fighting to breathe in a stormy ocean with no shore in sight. I jolted awake with my heart pounding. I could not shake the feeling of danger.,high,"guilt,rage,helplessness","danger,technology_failure",green
1438,I found a stack of beloved books as I was gardening in a small chapel with open doors. I felt a soft joy I could not name.,low,"wonder,care,contentment,joy","learning,new_beginning,nourishment","notebook_page,turtle"
1439,"In that moment, i was being watched by a wolf but it sat down and looked away when I met its eyes.",moderate,"regret,unease,nostalgia,disconnection","unresolved_conflict,change,deception,awakening","elevator,field,flying,mosque"
1440,I was losing control in a suffocating elevator that would not open. There was a clock counting down to zero. My hands were trembling when I finally woke. The fear stayed with me all morning.,high,"panic,powerlessness,terror,helplessness,dread","persecution,collective_threat","smoke,whispers"
1441,I found a fire spreading faster than I could run as I was failing to protect someone in a stormy ocean with no shore in sight. The weight of it followed me into the morning. I jolted awake in a cold sweat.,high,"anxiety,desperation,overwhelm,instability","loss_of_control,danger,instability,collapse",desert
1442,"Later in the dream, i was arguing with someone I loved and we were both crying but neither of us wanted to stop.",moderate,"apprehension,fatigue,anticipation,wistfulness","strategy,warning","dancing,autumn"
1443,I wandered gently through a warm porch at sunset and noticed a colorful butterfly landing on my hand. I felt held by something larger than myself. I sensed a new beginning approaching.,low,"peace,longing,freedom,calm","release,connection,forgiveness","snake,ant,arms,winning"
1444,The dream began in a serene temple garden. I was exploring peacefully and came across a basket of ripe fruit. I felt a soft joy I could not name.,low,"delight,acceptance,serenity","urban_healing,growth,letting_go","elders,bag,mirror"
1445,I found a beautiful rainbow overhead as I was gardening in a cozy café with rain on the windows. A gentle peace settled over me. I woke with a sense of belonging.,low,"peace,playfulness,delight","flow,restoration","eating,bike,angels,white"
1446,"At some point, i was lost in a foreign city but the signs kept pointing me home.",moderate,"fatigue,apprehension,self_awareness,anticipation","power,hidden_path,past,liminal_space","phone,key"
1447,"I was writing in a soft meadow under a pale sky and noticed a folded note that said 'be brave'. For the first time in a long while, I felt safe. I sensed a new beginning approaching.",low,"hope,confidence,relief","rest,security,celebration,urban_healing",bridge
1448,"As the dream continued, i was drowning but the water was warm and I did not want to reach the surface.",moderate,"apprehension,anticipation,suspicion,curiosity","domestic_stress,hidden_path,secrets,work_boundary","kitchen,bird,red"
