symbol_name,traditional_summary_en,theme_tags,emotion_hints,stress_hint,source_origin
purgatory,"May suggest purification, waiting, guilt, or an in-between state of testing.","purification,waiting,guilt,transition","sadness,anxiety,reflection",moderate,zhougong
chanting,"May suggest spiritual protection, focus, repetition, or calming discipline.","protection,focus,spirituality,discipline","calm,hope,reverence",low,zhougong
curse,"May suggest harm, guilt, fear of misfortune, or toxic influence.","harm,guilt,misfortune,toxicity","fear,anxiety,distress",high,zhougong
blessing,"May suggest favor, protection, grace, or positive turning of fortune.","favor,protection,grace,fortune","hope,relief,gratitude",low,zhougong
indigo,"May suggest depth, introspection, mystery, or spiritual seriousness.","depth,introspection,mystery,spirituality","calm,curiosity,longing",low,zhougong
violet,"May suggest spirituality, refinement, mystery, or elevated emotion.","spirituality,mystery,beauty,refinement","awe,calm,longing",low,zhougong
beige,"May suggest neutrality, dryness, simplicity, or emotional restraint.","neutrality,simplicity,distance,restraint","calm,boredom,detachment",low,zhougong
teal,"May suggest calm emotion, healing flow, balance, or soothing depth.","calm,healing,balance,emotion","peace,relief,serenity",low,zhougong
magenta,"May suggest passion, vivid imagination, emotional intensity, or unusual energy.","passion,intensity,imagination,energy","excitement,longing,unease",moderate,zhougong
monochrome,"May suggest dullness, emotional flattening, detachment, or narrowed perspective.","dullness,detachment,limitation,stillness","numbness,sadness,fatigue",moderate,zhougong
bread,"May suggest comfort, sustenance, domestic security, or simple blessings.","comfort,sustenance,home,stability","gratitude,calm,warmth",low,zhougong
spicy_food,"May suggest stimulation, excitement, irritation, or heightened appetite for experience.","stimulation,excitement,intensity,appetite","excitement,restlessness,desire",moderate,zhougong
dessert,"May suggest indulgence, reward, pleasure, or emotional compensation.","reward,pleasure,indulgence,comfort","joy,desire,guilt",low,zhougong
herbs,"May suggest hardship, medicine, bitterness, or healing through difficulty.","hardship,healing,medicine,endurance","fatigue,hope,unease",moderate,zhougong
sacred_mountain,"May suggest pilgrimage, aspiration, reverence, or a difficult path toward meaning.","pilgrimage,aspiration,spirituality,challenge","awe,hope,determination",moderate,zhougong
ruined_temple,"May suggest lost faith, disappointment, spiritual neglect, or broken vows.","lost_faith,neglect,disappointment,spirituality","sadness,unease,reflection",moderate,zhougong
underground,"May suggest subconscious material, buried fears, secrecy, or hidden truths.","subconscious,secrecy,buried_emotion,hidden_truth","fear,curiosity,anxiety",moderate,zhougong
locked_gate,"May suggest blocked opportunity, delay, exclusion, or emotional barriers.","barrier,delay,restriction,opportunity","frustration,anxiety,hope",moderate,zhougong
fortified_wall,"May suggest strong defenses, emotional protection, separation, or fear of intrusion.","defense,protection,separation,boundary","safety,frustration,caution",moderate,zhougong
contentment,"May suggest satisfaction, peace, acceptance, or emotional completion.","satisfaction,peace,acceptance,fulfillment","calm,gratitude,relief",low,zhougong
despair,"May suggest emotional low point, hopelessness, or need for support and release.","hopelessness,emotional_pain,collapse,loss","sadness,helplessness,distress",high,zhougong
excitement,"May suggest anticipation, emotional activation, opportunity, or instability.","anticipation,energy,opportunity,instability","joy,anxiety,restlessness",moderate,zhougong
calmness,"May suggest balance, safety, recovery, or emotional steadiness.","balance,safety,recovery,steadiness","peace,relief,clarity",low,zhougong
clarity,"May suggest understanding, truth, resolution, or mental peace.","understanding,truth,resolution,awareness","relief,focus,hope",low,zhougong
regret,"May suggest reflection on mistakes, guilt, longing, or unfinished emotional business.","guilt,reflection,loss,past","sadness,guilt,longing",moderate,zhougong
silver_dragon,"May suggest mystical protection, elevated fortune, or rare spiritual power.","protection,fortune,mysticism,power","awe,hope,confidence",low,zhougong
fire_phoenix,"May suggest rebirth through suffering, transformation, or renewal after loss.","rebirth,transformation,renewal,trial","hope,awe,relief",moderate,zhougong
coiled_snake,"May suggest dormant threat, hidden power, tension, or unreadable intention.","threat,tension,hidden_power,uncertainty","fear,wariness,anxiety",high,zhougong
glowing_fish,"May suggest unusual opportunity, spiritual insight, or abundance with guidance.","opportunity,insight,abundance,mysticism","hope,wonder,joy",low,zhougong
bleeding_teeth,"May suggest severe loss, shame, family stress, or anxiety about decline.","loss,shame,health,family_stress","fear,shame,panic",high,zhougong
soaring_flight,"May suggest liberation, transcendence, confidence, or escape from limitation.","freedom,transcendence,confidence,escape","joy,relief,hope",low,zhougong
endless_falling,"May suggest insecurity, helplessness, instability, or fear of losing control.","insecurity,helplessness,loss_of_control,instability","panic,fear,anxiety",high,zhougong
drizzle,"May suggest gentle cleansing, mild sadness, soft transition, or emotional easing.","cleansing,sadness,transition,gentleness","calm,relief,longing",low,zhougong
crescent_moon,"May suggest gradual growth, partial clarity, intuition, or a developing cycle.","growth,intuition,cycle,hope","calm,hope,longing",low,zhougong
frozen_river,"May suggest stalled progress, emotional blockage, or paused life flow.","stagnation,emotional_block,delay,stillness","sadness,frustration,numbness",moderate,zhougong
wildfire,"May suggest uncontrolled destruction, rage, rapid change, or consuming stress.","destruction,anger,uncontrolled_change,stress","fear,anger,panic",high,zhougong
whirlwind,"May suggest chaos, confusion, rapid change, or emotional disorientation.","chaos,change,disorientation,instability","anxiety,fear,stress",high,zhougong
dead_tree,"May suggest endings, loss of vitality, grief, or a stalled family line.","ending,loss,grief,stagnation","sadness,unease,fatigue",moderate,zhougong
poison,"May suggest betrayal, contamination, toxicity, or hidden harm.","toxicity,betrayal,harm,contamination","fear,suspicion,distress",high,zhougong
haunted_house,"May suggest unresolved trauma, memory, fear, or distress tied to the self.","trauma,memory,fear,self","fear,sadness,unease",high,zhougong
iron_bridge,"May suggest durable transition, resilience, or a strong path across hardship.","transition,resilience,stability,connection","hope,confidence,relief",low,zhougong
tyrant,"May suggest oppression, fear of authority, domination, or loss of autonomy.","oppression,authority,fear,control","fear,pressure,anger",high,zhougong
stillbirth,"May suggest failed beginnings, grief, blocked creation, or loss of hoped-for growth.","loss,blocked_creation,grief,ending","sadness,helplessness,fear",high,zhougong
vengeful_ghost,"May suggest revenge, unresolved resentment, haunting memory, or emotional debt.","revenge,resentment,past,haunting","fear,guilt,unease",high,zhougong
wrathful_gods,"May suggest punishment, moral fear, cosmic judgment, or severe warning.","punishment,judgment,warning,spirituality","fear,awe,guilt",high,zhougong
migration,"May suggest transition, separation, purposeful movement, or changing life seasons.","transition,separation,journey,change","longing,hope,uncertainty",moderate,zhougong
schooling_fish,"May suggest unity, coordinated opportunity, collective flow, or social abundance.","unity,flow,community,opportunity","hope,calm,joy",low,zhougong
capsized_boat,"May suggest emotional disaster, failed transition, or loss of stability.","disaster,emotion,instability,loss_of_control","panic,fear,helplessness",high,zhougong
secret_garden,"May suggest private growth, hidden beauty, inner refuge, or protected longing.","privacy,growth,beauty,refuge","calm,longing,hope",low,zhougong
forbidden_books,"May suggest dangerous knowledge, temptation, secrecy, or risky curiosity.","knowledge,temptation,secrecy,danger","curiosity,fear,anxiety",moderate,zhougong
guiding_angels,"May suggest spiritual help, direction, comfort, or reassurance in difficulty.","guidance,protection,comfort,hope","hope,relief,awe",low,zhougong
merciful_gods,"May suggest forgiveness, grace, relief from fear, or spiritual compassion.","forgiveness,grace,protection,spirituality","relief,hope,gratitude",low,zhougong
fan,"May suggest cooling emotions, social grace, modest concealment, or flirtation.","cooling,grace,concealment,romance","calm,curiosity,lightness",low,zhougong
funeral_procession,"May suggest closure, collective mourning, transition, or respect for endings.","closure,mourning,transition,ritual","sadness,reflection,acceptance",moderate,zhougong
banquet_table,"May suggest shared reward, social opportunity, indulgence, or family dynamics.","community,reward,indulgence,family","joy,anticipation,overwhelm",low,zhougong
festival_lanterns,"May suggest celebration, public joy, hopes, or fleeting brightness.","celebration,hope,community,impermanence","joy,wonder,longing",low,zhougong
rice_bowl,"May suggest daily provision, household stability, gratitude, or modest abundance.","provision,stability,domesticity,abundance","comfort,gratitude,calm",low,zhougong
grain_store,"May suggest reserves, preparedness, wealth security, or anxiety about scarcity.","security,preparedness,wealth,scarcity","relief,caution,hope",low,zhougong
harvest_cart,"May suggest earned reward, movement of resources, or the results of sustained effort.","reward,labor,movement,abundance","satisfaction,hope,duty",low,zhougong
plow,"May suggest hard work, beginning cultivation, patience, or practical effort.","labor,beginnings,patience,grounding","duty,focus,steadiness",low,zhougong
field_path,"May suggest modest progress, routine direction, or a practical life course.","progress,direction,routine,journey","calm,hope,nostalgia",low,zhougong
well,"May suggest hidden resources, deep emotion, ancestry, or inner replenishment.","resource,depth,ancestry,emotion","curiosity,calm,unease",moderate,zhougong
bucket,"May suggest carrying emotional burden, household duty, or gathered resources.","burden,duty,resource,containment","duty,fatigue,calm",low,zhougong
rope_bridge,"May suggest risky transition, instability, courage, or uncertain connection.","risk,transition,instability,courage","anxiety,determination,hope",high,zhougong
stone_bridge,"May suggest reliable passage, enduring connection, or stable reconciliation.","stability,connection,reconciliation,durability","relief,hope,confidence",low,zhougong
wooden_bridge,"May suggest practical transition, temporary support, or modest but useful connection.","transition,support,practicality,journey","hope,caution,calm",low,zhougong
broken_bridge,"May suggest interrupted progress, failed connection, or difficulty crossing into a new phase.","blocked_progress,separation,transition,loss","frustration,sadness,anxiety",high,zhougong
riverbank,"May suggest threshold, observation of emotion, or waiting before action.","threshold,emotion,patience,reflection","calm,hesitation,curiosity",low,zhougong
waterfall,"May suggest powerful release, overwhelming feeling, or cleansing force.","release,emotion,power,cleansing","awe,relief,anxiety",moderate,zhougong
spring_water,"May suggest renewal, health, pure emotion, or hopeful beginnings.","renewal,healing,purity,beginnings","hope,calm,refreshment",low,zhougong
mud,"May suggest entanglement, impurity, delay, or difficulty moving freely.","entanglement,delay,impurity,obstacle","frustration,disgust,anxiety",moderate,zhougong
lotus,"May suggest purity arising from difficulty, spiritual growth, or graceful resilience.","purity,resilience,spirituality,growth","peace,hope,reverence",low,zhougong
reed,"May suggest flexibility, humility, adaptation, or vulnerability to pressure.","flexibility,humility,adaptation,vulnerability","calm,hesitation,unease",low,zhougong
bamboo,"May suggest integrity, resilience, upright character, or quiet endurance.","integrity,resilience,endurance,character","calm,confidence,hope",low,zhougong
pine_tree,"May suggest longevity, steadfastness, winter endurance, or noble constancy.","longevity,steadfastness,endurance,nobility","respect,calm,hope",low,zhougong
willow_tree,"May suggest sorrow, gentleness, yielding, or emotional sensitivity.","sorrow,gentleness,adaptation,sensitivity","sadness,calm,longing",low,zhougong
peach_blossom,"May suggest romance, youth, tender attraction, or fleeting beauty.","romance,youth,beauty,impermanence","joy,longing,tenderness",low,zhougong
plum_blossom,"May suggest perseverance in hardship, quiet beauty, or winter hope.","perseverance,beauty,endurance,hope","hope,calm,respect",low,zhougong
orchid,"May suggest refinement, hidden virtue, elegance, or noble feeling.","refinement,virtue,elegance,beauty","calm,admiration,longing",low,zhougong
chrysanthemum,"May suggest autumn reflection, endurance, modest honor, or solitude.","reflection,endurance,honor,solitude","calm,nostalgia,sadness",low,zhougong
fallen_petal,"May suggest impermanence, missed timing, gentle loss, or seasonal transition.","impermanence,loss,transition,beauty","sadness,longing,acceptance",low,zhougong
thorn,"May suggest pain in closeness, defense, or hidden difficulty within beauty.","pain,defense,obstacle,relationship","wariness,sadness,anxiety",moderate,zhougong
vine,"May suggest attachment, growth through support, entanglement, or dependence.","attachment,growth,entanglement,dependency","hope,anxiety,curiosity",moderate,zhougong
moss,"May suggest age, quiet persistence, damp memory, or neglected places.","age,persistence,neglect,memory","nostalgia,calm,unease",low,zhougong
seed,"May suggest hidden potential, beginnings, patience, or future outcomes.","potential,beginnings,patience,future","hope,anticipation,calm",low,zhougong
sprout,"May suggest early growth, fragile success, or visible progress after waiting.","growth,beginnings,fragility,progress","hope,tenderness,relief",low,zhougong
root,"May suggest origins, family grounding, hidden support, or deep attachment.","origins,grounding,family,support","comfort,nostalgia,stability",low,zhougong
branch,"May suggest extension, family line, possibility, or a choice of direction.","family,choice,growth,extension","hope,curiosity,uncertainty",low,zhougong
leaf,"May suggest seasonal change, life energy, or small signs of growth and decline.","seasonal_change,vitality,change,life_cycle","calm,nostalgia,hope",low,zhougong
fallen_branch,"May suggest weakened support, broken plans, or family strain.","loss,support_failure,family,strain","sadness,anxiety,concern",moderate,zhougong
fruit_basket,"May suggest gathered rewards, household abundance, or visible success.","reward,abundance,household,success","joy,gratitude,contentment",low,zhougong
rotten_fruit,"May suggest spoiled opportunity, disappointment, or reward gone wrong.","disappointment,decay,loss,neglect","sadness,regret,unease",moderate,zhougong
seedling_bed,"May suggest careful preparation, nurturing growth, or fragile projects.","preparation,nurturing,growth,fragility","hope,duty,care",low,zhougong
mountain_peak,"May suggest achieved ambition, perspective, isolation, or earned honor.","achievement,perspective,ambition,honor","pride,awe,loneliness",moderate,zhougong
mountain_pass,"May suggest a difficult route, strategic movement, or progress through hardship.","challenge,journey,strategy,endurance","determination,anxiety,hope",moderate,zhougong
cliff,"May suggest danger, irreversible choice, or fear of losing footing.","danger,risk,decision,instability","fear,vertigo,anxiety",high,zhougong
valley,"May suggest shelter, humility, lowered fortune, or recovery between trials.","shelter,humility,recovery,decline","calm,sadness,hope",low,zhougong
cave_entrance,"May suggest approaching the unknown, hidden truth, or cautious retreat.","threshold,unknown,secrecy,retreat","curiosity,fear,hesitation",moderate,zhougong
cavern,"May suggest deep unconscious material, isolation, or concealed danger.","subconscious,isolation,secrecy,danger","fear,curiosity,withdrawal",moderate,zhougong
stalactites,"May suggest slow formation, suspended threat, or long-developed pressure.","time,pressure,threat,formation","unease,awe,patience",moderate,zhougong
desert_dune,"May suggest shifting conditions, scarcity, or endurance in unstable terrain.","scarcity,instability,endurance,change","fatigue,determination,loneliness",moderate,zhougong
oasis,"May suggest relief, unexpected support, or emotional replenishment after strain.","relief,support,replenishment,hope","relief,gratitude,hope",low,zhougong
sandstorm,"May suggest confusion, harsh conditions, obscured direction, or mental overload.","confusion,hardship,obscurity,stress","anxiety,fatigue,fear",high,zhougong
shoreline,"May suggest boundary between conscious and emotional life, or readiness for transition.","boundary,emotion,transition,awareness","calm,curiosity,anticipation",low,zhougong
tide,"May suggest cyclical feeling, unavoidable change, or emotional rhythm.","cycle,emotion,change,inevitability","calm,unease,longing",low,zhougong
wave,"May suggest surging emotion, recurring stress, or movement through feeling.","emotion,movement,stress,release","awe,anxiety,relief",moderate,zhougong
whirlpool,"May suggest emotional entrapment, obsession, or being pulled off course.","entrapment,emotion,loss_of_control,obsession","fear,panic,helplessness",high,zhougong
island,"May suggest protected solitude, separation, or a self-contained emotional world.","isolation,protection,solitude,retreat","calm,loneliness,curiosity",moderate,zhougong
harbor,"May suggest safety after difficulty, rest, or a temporary refuge.","safety,rest,refuge,arrival","relief,calm,gratitude",low,zhougong
ship,"May suggest major life passage, emotional transport, or exposure to uncertainty.","journey,emotion,transition,uncertainty","hope,anxiety,awe",moderate,zhougong
sail,"May suggest direction through unseen forces, adaptability, or travel readiness.","direction,adaptation,journey,momentum","hope,curiosity,confidence",low,zhougong
anchor,"May suggest stability, commitment, or difficulty moving on.","stability,commitment,security,stagnation","calm,security,hesitation",low,zhougong
oar,"May suggest effortful progress, self-propelled change, or practical emotional navigation.","effort,progress,control,journey","determination,fatigue,hope",moderate,zhougong
fisherman_net,"May suggest catching opportunity, entanglement, or deliberate effort for gain.","opportunity,effort,entanglement,profit","hope,focus,anxiety",moderate,zhougong
harpoon,"May suggest direct pursuit, aggression, or focused effort toward a target.","pursuit,focus,aggression,precision","determination,anger,alertness",moderate,zhougong
harvest_moon,"May suggest fullness, reward, timing, or ripened emotional understanding.","completion,reward,timing,reflection","gratitude,calm,longing",low,zhougong
new_sunrise,"May suggest renewal, clarity, opportunity, or return of confidence.","renewal,clarity,opportunity,vitality","hope,relief,confidence",low,zhougong
dusk,"May suggest endings, uncertainty, reflection, or diminished clarity.","ending,uncertainty,reflection,decline","sadness,unease,nostalgia",low,zhougong
dawn,"May suggest emergence, hope, recovery, or a favorable beginning.","beginning,hope,recovery,light","hope,relief,calm",low,zhougong
starfield,"May suggest expansive possibility, destiny, or contemplation of one's path.","destiny,possibility,guidance,contemplation","wonder,hope,longing",low,zhougong
north_star,"May suggest stable guidance, moral direction, or reliable purpose.","guidance,stability,purpose,morality","hope,calm,confidence",low,zhougong
shooting_star,"May suggest brief opportunity, wishful hope, or a rapidly changing fate.","opportunity,hope,change,transience","wonder,anticipation,longing",low,zhougong
night_sky,"May suggest mystery, contemplation, hidden forces, or emotional depth.","mystery,contemplation,depth,unknown","calm,awe,unease",low,zhougong
sunbeam,"May suggest focused blessing, insight, warmth, or hope breaking through difficulty.","blessing,insight,warmth,hope","relief,hope,joy",low,zhougong
moonlight,"May suggest subtle intuition, romance, quiet sorrow, or reflective calm.","intuition,romance,reflection,calm","longing,peace,sadness",low,zhougong
mist,"May suggest vagueness, transition, softened fear, or half-seen truth.","uncertainty,transition,hidden_truth,softness","unease,curiosity,hesitation",moderate,zhougong
smoke,"May suggest concealment, aftermath, warning, or unclear cause of distress.","concealment,warning,aftermath,uncertainty","anxiety,alertness,confusion",moderate,zhougong
ash,"May suggest aftermath, humility, loss, or transformation after destruction.","aftermath,loss,transformation,humility","sadness,reflection,acceptance",moderate,zhougong
ember,"May suggest lingering passion, residual anger, or quiet hope not extinguished.","passion,anger,residue,hope","tension,longing,hope",moderate,zhougong
hearth,"May suggest domestic warmth, family center, comfort, or protected intimacy.","warmth,domesticity,family,comfort","comfort,gratitude,safety",low,zhougong
chimney,"May suggest release of pressure, household function, or signals from the home.","release,home,signal,function","calm,curiosity,relief",low,zhougong
roof,"May suggest shelter, status of the household, or protection over the self.","shelter,household,protection,status","safety,concern,calm",low,zhougong
door,"May suggest access, decision, hospitality, or movement into a new situation.","access,decision,threshold,transition","hope,curiosity,anxiety",moderate,zhougong
doorway,"May suggest liminality, readiness, or hesitation before entering change.","threshold,transition,choice,hesitation","anticipation,anxiety,hope",moderate,zhougong
courtyard,"May suggest family life, inner social space, or a semi-private emotional world.","family,community,domesticity,space","comfort,nostalgia,calm",low,zhougong
corridor,"May suggest passage, delay, or transition between emotional states.","passage,delay,transition,uncertainty","hesitation,anxiety,curiosity",moderate,zhougong
staircase,"May suggest gradual change in status, effortful progress, or emotional ascent.","advancement,effort,change,status","hope,anxiety,determination",moderate,zhougong
balcony,"May suggest perspective, distance from events, or visible self-presentation.","perspective,distance,observation,self_image","curiosity,longing,calm",low,zhougong
attic,"May suggest stored memories, neglected thoughts, or hidden family material.","memory,secrecy,storage,past","nostalgia,unease,curiosity",moderate,zhougong
cellar,"May suggest buried emotion, hidden reserves, or fear stored below awareness.","subconscious,storage,fear,depth","fear,curiosity,anxiety",moderate,zhougong
kitchen,"May suggest nourishment, transformation of resources, or family responsibility.","nourishment,transformation,domesticity,responsibility","comfort,duty,warmth",low,zhougong
bedroom,"May suggest privacy, intimacy, rest, or vulnerability of the inner self.","privacy,intimacy,rest,vulnerability","comfort,longing,unease",low,zhougong
threshold_stone,"May suggest a formal crossing, household boundary, or careful beginnings.","boundary,beginnings,household,transition","respect,hesitation,hope",low,zhougong
garden_wall,"May suggest protected beauty, emotional boundaries, or curated inner life.","protection,beauty,boundary,privacy","calm,security,longing",low,zhougong
window_lattice,"May suggest filtered perspective, cultural order, or partial access to possibility.","perspective,structure,limitation,possibility","curiosity,calm,hesitation",low,zhougong
lantern,"May suggest guidance in darkness, celebration, or fragile but visible hope.","guidance,hope,celebration,illumination","relief,warmth,calm",low,zhougong
torch,"May suggest active searching, danger nearby, or determination through darkness.","searching,danger,determination,illumination","alertness,hope,fear",moderate,zhougong
bell,"May suggest warning, ritual attention, awakening, or announcement.","warning,ritual,announcement,awakening","alertness,reverence,unease",moderate,zhougong
drum,"May suggest public signal, rising excitement, or collective pressure.","signal,excitement,community,pressure","anticipation,stress,energy",moderate,zhougong
flute,"May suggest longing, refined emotion, romance, or distant memory.","romance,longing,refinement,memory","longing,calm,sadness",low,zhougong
zither,"May suggest cultured feeling, introspection, harmony, or emotional subtlety.","harmony,introspection,refinement,emotion","calm,longing,focus",low,zhougong
paintbrush,"May suggest intention, artistry, communication, or shaping reality through expression.","creativity,expression,intention,skill","focus,joy,hope",low,zhougong
ink,"May suggest lasting words, memory, scholarship, or emotional seriousness.","memory,scholarship,expression,seriousness","focus,nostalgia,calm",low,zhougong
scroll,"May suggest preserved wisdom, important message, or unfolding understanding.","wisdom,message,tradition,revelation","curiosity,reverence,hope",low,zhougong
seal_stamp,"May suggest official recognition, closure, authority, or final decision.","authority,recognition,decision,validation","confidence,pressure,relief",moderate,zhougong
document,"May suggest responsibility, agreement, judgment, or formal communication.","responsibility,agreement,communication,judgment","anxiety,focus,anticipation",moderate,zhougong
map,"May suggest orientation, planning, destiny, or search for the right route.","orientation,planning,journey,strategy","hope,curiosity,anxiety",low,zhougong
compass,"May suggest moral guidance, reliable direction, or need to correct course.","guidance,direction,correction,stability","relief,focus,hope",low,zhougong
abacus,"May suggest calculation, practical judgment, trade concerns, or measured planning.","calculation,trade,planning,prudence","focus,anxiety,control",moderate,zhougong
coin_pouch,"May suggest portable wealth, caution, or fear of loss and theft.","wealth,security,portability,loss","hope,anxiety,caution",moderate,zhougong
jade,"May suggest virtue, protection, status, or treasured inner worth.","virtue,protection,status,value","admiration,calm,confidence",low,zhougong
jade_pendant,"May suggest personal protection, inherited value, or moral identity.","protection,inheritance,identity,value","comfort,respect,hope",low,zhougong
bronze,"May suggest durability, age, ritual weight, or practical strength.","durability,tradition,strength,materiality","respect,calm,gravity",low,zhougong
iron,"May suggest hardness, endurance, defense, or inflexibility.","strength,endurance,defense,rigidity","confidence,tension,stability",moderate,zhougong
silk,"May suggest refinement, luxury, social grace, or delicate presentation.","luxury,refinement,beauty,status","joy,desire,care",low,zhougong
robe,"May suggest role, social identity, dignity, or responsibilities carried publicly.","identity,status,role,dignity","confidence,pressure,curiosity",low,zhougong
sleeves,"May suggest hidden intention, reserve, modesty, or concealed emotion.","concealment,modesty,emotion,self_presentation","curiosity,calm,unease",low,zhougong
belt,"May suggest self-control, readiness, restraint, or secured identity.","control,restraint,readiness,identity","focus,confidence,tension",low,zhougong
shoe,"May suggest preparedness for a journey, social standing, or practical movement.","journey,preparedness,status,movement","hope,calm,readiness",low,zhougong
sandals,"May suggest humility, simplicity, travel, or exposed vulnerability.","humility,simplicity,travel,vulnerability","calm,exposure,hope",low,zhougong
boots,"May suggest toughness, endurance, protection, or readiness for rough conditions.","endurance,protection,journey,resilience","confidence,determination,alertness",low,zhougong
cloak,"May suggest protection, secrecy, authority, or covering one's true state.","protection,secrecy,authority,concealment","safety,curiosity,unease",moderate,zhougong
veil,"May suggest hidden truth, modesty, delay in revelation, or emotional distance.","hidden_truth,modesty,mystery,distance","curiosity,longing,uncertainty",moderate,zhougong
needle,"May suggest precision, healing, small pain, or the need to mend something delicate.","precision,healing,mending,pain","focus,anxiety,care",moderate,zhougong
thread,"May suggest connection, continuity, fragility, or patient repair.","connection,continuity,fragility,repair","hope,care,calm",low,zhougong
loom,"May suggest weaving fate, patient construction, or interconnected life patterns.","fate,construction,patience,connection","focus,calm,hope",low,zhougong
basket,"May suggest gathered resources, domestic care, or carrying responsibilities.","resources,domesticity,burden,care","gratitude,duty,calm",low,zhougong
chest,"May suggest storage of value, secrets, inheritance, or guarded memory.","storage,value,secrets,inheritance","curiosity,security,unease",moderate,zhougong
cabinet,"May suggest organized memory, domestic order, or hidden compartments of feeling.","order,memory,domesticity,secrecy","calm,curiosity,control",low,zhougong
drawer,"May suggest small hidden matters, private habits, or accessible secrets.","secrecy,privacy,details,storage","curiosity,unease,calm",low,zhougong
key,"May suggest access, solution, responsibility, or power to open what is closed.","access,solution,power,responsibility","hope,curiosity,pressure",moderate,zhougong
lockbox,"May suggest guarded wealth, emotional reserve, or fear of exposure.","security,reserve,wealth,secrecy","anxiety,control,caution",moderate,zhougong
needlework,"May suggest patient repair, domestic skill, or quiet effort to restore harmony.","repair,skill,patience,harmony","calm,focus,care",low,zhougong
cauldron,"May suggest transformation, pressure, brewing conflict, or powerful creation.","transformation,pressure,creation,danger","awe,tension,anticipation",moderate,zhougong
steam,"May suggest rising pressure, emotional release, or unseen heat beneath calm.","pressure,release,emotion,hidden_force","tension,relief,unease",moderate,zhougong
steam_rice,"May suggest nourishment in preparation, family care, or ordinary blessing.","nourishment,preparation,family,comfort","warmth,gratitude,calm",low,zhougong
tea,"May suggest calm conversation, ritual ease, hospitality, or reflective pause.","calm,ritual,hospitality,reflection","peace,comfort,clarity",low,zhougong
teacup,"May suggest contained feeling, social delicacy, or a small personal comfort.","containment,comfort,sociality,delicacy","calm,care,contentment",low,zhougong
teapot,"May suggest shared warmth, preparation for company, or emotional readiness.","warmth,preparation,sharing,domesticity","comfort,anticipation,calm",low,zhougong
chopsticks,"May suggest skill, balance, nourishment, or disciplined handling of needs.","skill,balance,nourishment,discipline","focus,calm,readiness",low,zhougong
knife,"May suggest separation, precision, threat, or decisive emotional cutting.","separation,precision,danger,decision","fear,focus,tension",moderate,zhougong
cleaver,"May suggest forceful division, practical necessity, or harsh decisiveness.","force,division,necessity,decisiveness","alarm,determination,tension",moderate,zhougong
spoon,"May suggest care, feeding, gentleness, or patient receiving.","care,nourishment,gentleness,receptivity","comfort,tenderness,calm",low,zhougong
plate,"May suggest presentation, shared meal, or what is offered to others.","offering,sharing,sociality,fulfillment","anticipation,comfort,calm",low,zhougong
crumbs,"May suggest leftovers, minor loss, or the remains of earlier comfort.","loss,remains,scarcity,memory","sadness,nostalgia,unease",low,zhougong
wine_cup,"May suggest pleasure, social ritual, temptation, or emotional loosening.","pleasure,ritual,temptation,release","joy,desire,loss_of_control",moderate,zhougong
vinegar,"May suggest sharpness, bitterness, preservation, or emotional sourness.","bitterness,preservation,sharpness,criticism","irritation,disgust,alertness",moderate,zhougong
salt,"May suggest preservation, purity, hardship, or tears and labor.","preservation,purity,hardship,necessity","calm,bitterness,reflection",low,zhougong
honey,"May suggest sweetness, reward, attraction, or pleasure with stickiness.","sweetness,reward,attraction,attachment","joy,desire,comfort",low,zhougong
medicine,"May suggest healing, unpleasant necessity, or hope through discipline.","healing,necessity,discipline,recovery","hope,unease,relief",moderate,zhougong
herbal_broth,"May suggest slow healing, family care, or remedy through patience.","healing,care,patience,domesticity","comfort,hope,calm",low,zhougong
market,"May suggest exchange, opportunity, competition, or social complexity.","exchange,opportunity,competition,society","curiosity,stress,hope",moderate,zhougong
market_stall,"May suggest practical trade, modest ambition, or reliance on public exchange.","trade,ambition,livelihood,community","hope,anxiety,duty",moderate,zhougong
shop_sign,"May suggest identity in public life, commerce, or reputation.","identity,commerce,reputation,visibility","curiosity,pressure,hope",moderate,zhougong
warehouse,"May suggest stored potential, material anxiety, or guarded prosperity.","storage,prosperity,preparedness,anxiety","hope,caution,control",moderate,zhougong
merchant_caravan,"May suggest profit through movement, risk in exchange, or long-range opportunity.","profit,travel,risk,opportunity","hope,anxiety,anticipation",moderate,zhougong
porters,"May suggest burden-sharing, labor, or reliance on practical support.","labor,support,burden,service","duty,gratitude,fatigue",low,zhougong
tax_collector,"May suggest pressure, obligation, authority, or fear of loss through duty.","obligation,authority,loss,pressure","anxiety,resentment,fear",high,zhougong
judge,"May suggest evaluation, moral reckoning, authority, or decision with consequence.","judgment,authority,morality,decision","awe,anxiety,pressure",moderate,zhougong
verdict,"May suggest finality, consequence, recognition, or feared exposure.","finality,consequence,recognition,exposure","anxiety,relief,fear",high,zhougong
prison,"May suggest restriction, guilt, trapped circumstances, or external control.","restriction,guilt,confinement,control","fear,helplessness,distress",high,zhougong
chain_gate,"May suggest defended boundaries, controlled access, or institutional limitation.","barrier,control,security,restriction","frustration,anxiety,caution",moderate,zhougong
soldier_helmet,"May suggest defense, role readiness, or pressure to confront conflict.","defense,role,conflict,preparedness","alertness,duty,stress",moderate,zhougong
banner,"May suggest cause, recognition, collective identity, or ambition made visible.","identity,recognition,community,ambition","pride,hope,pressure",low,zhougong
